GD Loss path	GF count

S21(2)->S16(2)->S15(2)->S6(0)->ARA(0)	['OG0001676-1367', 'OG0000542-3011', 'OG0004725-3324', 'OG0018697-3474', 'OG0013329-4187', 'OG0003847-4360', 'OG0009563-5080', 'OG0002386-5304', 'OG0002423-5432', 'OG0000793-5558', 'OG0011107-5625', 'OG0000022-5744', 'OG0005774-5934', 'OG0011105-6987', 'OG0002435-7192', 'OG0001699-7385', 'OG0000579-7488', 'OG0003138-8445', 'OG0000046-9117', 'OG0000494-10201', 'OG0000494-10202', 'OG0003174-10518', 'OG0003174-10520', 'OG0016431-11366', 'OG0011438-11368', 'OG0008430-11954', 'OG0001010-12483', 'OG0013028-13142', 'OG0004583-13254', 'OG0003788-13512', 'OG0000055-14002', 'OG0001942-14814', 'OG0000137-14919', 'OG0000057-15144', 'OG0008184-15603', 'OG0004026-15770', 'OG0004191-16441', 'OG0010513-17852', 'OG0004558-19047', 'OG0004558-19048', 'OG0012844-19563', 'OG0003578-19863', 'OG0000065-19894', 'OG0005051-20885', 'OG0000505-21355', 'OG0000505-21357', 'OG0016616-22010', 'OG0000300-22546', 'OG0013426-22633', 'OG0004562-23086', 'OG0002885-23136', 'OG0011487-25427', 'OG0000039-25852', 'OG0000171-26020', 'OG0000359-26527', 'OG0000359-26529', 'OG0001537-26683', 'OG0002610-26985', 'OG0000199-27909', 'OG0003335-28059', 'OG0000016-28926', 'OG0013080-29628', 'OG0000015-30750', 'OG0011045-31909', 'OG0000410-32296']

S21(2)->S16(2)->S15(1)->S6(1)->ARA(1)	['OG0003114-19', 'OG0001058-2080', 'OG0001270-2420', 'OG0000026-2768', 'OG0000231-3264', 'OG0000209-5169', 'OG0002583-8328', 'OG0003375-8732', 'OG0000290-11444', 'OG0000520-11613', 'OG0001206-12193', 'OG0005307-13690', 'OG0000490-14820', 'OG0000075-21111', 'OG0009079-21149', 'OG0007242-21496', 'OG0008818-21546', 'OG0004038-21675', 'OG0003543-23134', 'OG0001397-23230', 'OG0000260-23349', 'OG0000261-23625', 'OG0001285-24781', 'OG0009752-24975', 'OG0006264-26746', 'OG0000600-27977', 'OG0002749-28698', 'OG0001644-29212', 'OG0002359-29295', 'OG0004271-29745']

S21(2)->S16(2)->S15(1)->S6(1)->ARA(0)	['OG0000810-427', 'OG0007574-906', 'OG0006687-5242', 'OG0000036-5691', 'OG0000626-6591', 'OG0000785-7107', 'OG0012592-8067', 'OG0000431-8453', 'OG0000134-12787', 'OG0003383-17169', 'OG0003949-19560', 'OG0000111-20141', 'OG0000263-21326', 'OG0000100-22255', 'OG0000213-25517', 'OG0001443-26913', 'OG0001484-29631', 'OG0000148-31920']

S21(2)->S16(2)->S15(1)->S6(0)->ARA(0)	['OG0023402-3066', 'OG0009563-5079', 'OG0010423-6064', 'OG0000497-12284', 'OG0000326-12326', 'OG0013025-19983', 'OG0000513-23664', 'OG0006070-26360', 'OG0020499-26949', 'OG0000767-30817']

S21(2)->S16(2)->S15(0)->S6(0)->ARA(0)	['OG0015576-3899', 'OG0015598-5884', 'OG0000520-11615', 'OG0000095-15932', 'OG0003403-16244', 'OG0001419-21059', 'OG0018924-24849', 'OG0000013-27043', 'OG0007621-28105', 'OG0011282-28170', 'OG0013320-28498', 'OG0015591-29889']

S21(2)->S16(1)->S15(1)->S6(1)->ARA(1)	['OG0005362-1323', 'OG0000026-2778', 'OG0000581-3107', 'OG0004725-3323', 'OG0009765-3601', 'OG0000220-5515', 'OG0000744-5776', 'OG0010421-6608', 'OG0000154-6621', 'OG0001868-7409', 'OG0002959-8073', 'OG0000133-10070', 'OG0006230-10124', 'OG0000079-10948', 'OG0002337-11623', 'OG0002647-11845', 'OG0003617-12650', 'OG0001363-13967', 'OG0002287-14833', 'OG0001407-15271', 'OG0000902-15342', 'OG0000240-15791', 'OG0001943-16457', 'OG0005309-17513', 'OG0000310-18324', 'OG0000310-18328', 'OG0005444-19240', 'OG0001144-19259', 'OG0001144-19260', 'OG0003746-19684', 'OG0002896-19981', 'OG0002510-20321', 'OG0000277-21410', 'OG0000277-21411', 'OG0000538-21692', 'OG0000074-21993', 'OG0000074-21995', 'OG0001020-22428', 'OG0001793-22760', 'OG0000880-22893', 'OG0004946-23492', 'OG0013976-23756', 'OG0001745-24287', 'OG0000206-25292', 'OG0000012-27700', 'OG0001862-29422', 'OG0001094-30133', 'OG0000175-30588', 'OG0003911-31278']

S21(2)->S16(1)->S15(1)->S6(1)->ARA(0)	['OG0010550-751', 'OG0002419-1352', 'OG0000018-1622', 'OG0000193-1707', 'OG0002151-6891', 'OG0001172-9253', 'OG0005061-10730', 'OG0000119-10737', 'OG0000050-11869', 'OG0000040-13093', 'OG0000295-13559', 'OG0008813-15676', 'OG0006173-17674', 'OG0001742-18567', 'OG0002854-19180', 'OG0000263-21327', 'OG0000712-22023', 'OG0000841-22092', 'OG0002273-22479', 'OG0001355-23821', 'OG0005578-24506', 'OG0005023-26717', 'OG0000007-27006', 'OG0009234-27446', 'OG0000012-27718', 'OG0002563-28389', 'OG0000407-30269', 'OG0003656-30399', 'OG0011859-31043']

S21(2)->S16(1)->S15(1)->S6(0)->ARA(0)	['OG0000347-67', 'OG0005968-421', 'OG0000009-7807', 'OG0000682-10014', 'OG0000682-10018', 'OG0001762-12440', 'OG0000263-21328', 'OG0000177-30073', 'OG0001684-31312']

S21(2)->S16(1)->S15(0)->S6(0)->ARA(0)	['OG0001011-10492', 'OG0000095-15928', 'OG0000299-19452', 'OG0000921-21838', 'OG0000472-22593', 'OG0013078-25077', 'OG0000777-25771', 'OG0000013-27038', 'OG0001121-31207']
