topology_id	topology_num	topology
49	36	(((((Medicago_truncatula,Glycine_max),Vitis_vinifera),Solanum_lycopersicum),Arabidopsis_thaliana),Amborella_trichopoda);
50	36	(((((Medicago_truncatula,Glycine_max),Vitis_vinifera),Solanum_lycopersicum),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
51	34	((((Medicago_truncatula,Glycine_max),Vitis_vinifera),Arabidopsis_thaliana),Amborella_trichopoda);
52	33	(((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Solanum_lycopersicum),Vitis_vinifera),Oryza_sativa_L.Nipponbare);
53	33	(((Medicago_truncatula,Glycine_max),((Arabidopsis_thaliana,Solanum_lycopersicum),Vitis_vinifera)),Oryza_sativa_L.Nipponbare);
54	33	(Vitis_vinifera,Solanum_lycopersicum);
55	32	(((Medicago_truncatula,Glycine_max),Vitis_vinifera),Amborella_trichopoda);
56	31	(((Medicago_truncatula,Glycine_max),((Arabidopsis_thaliana,Solanum_lycopersicum),Vitis_vinifera)),Amborella_trichopoda);
57	31	((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Vitis_vinifera),Amborella_trichopoda);
58	30	(((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Vitis_vinifera),Arabidopsis_thaliana),Amborella_trichopoda);
59	30	((((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,Solanum_lycopersicum)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
60	29	(((Glycine_max,Arabidopsis_thaliana),Solanum_lycopersicum),Vitis_vinifera);
61	28	(((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Vitis_vinifera),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
62	28	((((Medicago_truncatula,Glycine_max),Vitis_vinifera),Solanum_lycopersicum),Amborella_trichopoda);
63	27	(((((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Arabidopsis_thaliana),Solanum_lycopersicum),Vitis_vinifera),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
64	27	(((Medicago_truncatula,Glycine_max),(Vitis_vinifera,Solanum_lycopersicum)),Amborella_trichopoda);
65	26	(((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
66	25	((((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),(Arabidopsis_thaliana,Solanum_lycopersicum)),Vitis_vinifera),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
67	25	((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),(Arabidopsis_thaliana,Solanum_lycopersicum)),Vitis_vinifera);
68	25	(((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,(Vitis_vinifera,Solanum_lycopersicum))),Oryza_sativa_L.Nipponbare);
69	24	((((((Medicago_truncatula,Glycine_max),Glycine_max),(Vitis_vinifera,Solanum_lycopersicum)),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
70	24	(((((Medicago_truncatula,Glycine_max),Vitis_vinifera),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
71	24	((((Medicago_truncatula,Glycine_max),Vitis_vinifera),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
