topology_id	topology_num	tips_num	topology
4	7	6	(((Vitis_vinifera,((Arabidopsis_thaliana,Glycine_max),Solanum_lycopersicum)),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
4	7	6	(((Vitis_vinifera,((Arabidopsis_thaliana,Glycine_max),Solanum_lycopersicum)),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
4	7	6	(((Vitis_vinifera,((Arabidopsis_thaliana,Glycine_max),Solanum_lycopersicum)),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
4	7	5	((Vitis_vinifera,((Arabidopsis_thaliana,Glycine_max),Solanum_lycopersicum)),Amborella_trichopoda);
4	7	5	((Vitis_vinifera,((Arabidopsis_thaliana,Glycine_max),Solanum_lycopersicum)),Amborella_trichopoda);
4	7	5	((Vitis_vinifera,((Arabidopsis_thaliana,Glycine_max),Solanum_lycopersicum)),Amborella_trichopoda);
4	7	5	((Vitis_vinifera,((Arabidopsis_thaliana,Glycine_max),Solanum_lycopersicum)),Amborella_trichopoda);
5	3	6	(((((Vitis_vinifera,Arabidopsis_thaliana),Solanum_lycopersicum),Amborella_trichopoda),Glycine_max),Oryza_sativa_L.Nipponbare);
5	3	6	(((((Vitis_vinifera,Arabidopsis_thaliana),Solanum_lycopersicum),Amborella_trichopoda),Glycine_max),Oryza_sativa_L.Nipponbare);
5	3	5	((((Vitis_vinifera,Solanum_lycopersicum),Amborella_trichopoda),Glycine_max),Oryza_sativa_L.Nipponbare);
6	4	6	((((Vitis_vinifera,Glycine_max),(Arabidopsis_thaliana,Solanum_lycopersicum)),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
6	4	4	((Vitis_vinifera,Glycine_max),(Arabidopsis_thaliana,Solanum_lycopersicum));
6	4	4	((Vitis_vinifera,Glycine_max),(Arabidopsis_thaliana,Solanum_lycopersicum));
6	4	4	((Vitis_vinifera,Glycine_max),(Arabidopsis_thaliana,Solanum_lycopersicum));
7	1	6	(((Vitis_vinifera,(Glycine_max,Solanum_lycopersicum)),(Arabidopsis_thaliana,Amborella_trichopoda)),Oryza_sativa_L.Nipponbare);
8	1	6	((((Vitis_vinifera,Solanum_lycopersicum),Amborella_trichopoda),(Arabidopsis_thaliana,Glycine_max)),Oryza_sativa_L.Nipponbare);
9	1	6	((((Vitis_vinifera,Solanum_lycopersicum),Glycine_max),(Arabidopsis_thaliana,Amborella_trichopoda)),Oryza_sativa_L.Nipponbare);
10	3	6	(((((Vitis_vinifera,Solanum_lycopersicum),Arabidopsis_thaliana),Glycine_max),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
10	3	6	(((((Vitis_vinifera,Solanum_lycopersicum),Arabidopsis_thaliana),Glycine_max),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
10	3	6	(((((Vitis_vinifera,Solanum_lycopersicum),Arabidopsis_thaliana),Glycine_max),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
11	1	6	((((Vitis_vinifera,Glycine_max),(Amborella_trichopoda,Solanum_lycopersicum)),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
12	4	6	(((Vitis_vinifera,((Arabidopsis_thaliana,Solanum_lycopersicum),Amborella_trichopoda)),Glycine_max),Oryza_sativa_L.Nipponbare);
12	4	6	(((Vitis_vinifera,((Arabidopsis_thaliana,Solanum_lycopersicum),Amborella_trichopoda)),Glycine_max),Oryza_sativa_L.Nipponbare);
12	4	6	(((Vitis_vinifera,((Arabidopsis_thaliana,Solanum_lycopersicum),Amborella_trichopoda)),Glycine_max),Oryza_sativa_L.Nipponbare);
12	4	5	(((Vitis_vinifera,(Arabidopsis_thaliana,Solanum_lycopersicum)),Glycine_max),Oryza_sativa_L.Nipponbare);
13	5	6	((((Vitis_vinifera,(Arabidopsis_thaliana,Solanum_lycopersicum)),Glycine_max),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
13	5	6	((((Vitis_vinifera,(Arabidopsis_thaliana,Solanum_lycopersicum)),Glycine_max),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
13	5	6	((((Vitis_vinifera,(Arabidopsis_thaliana,Solanum_lycopersicum)),Glycine_max),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
13	5	5	(((Vitis_vinifera,(Arabidopsis_thaliana,Solanum_lycopersicum)),Glycine_max),Amborella_trichopoda);
13	5	5	(((Vitis_vinifera,(Arabidopsis_thaliana,Solanum_lycopersicum)),Glycine_max),Amborella_trichopoda);
14	1	5	(((Vitis_vinifera,Amborella_trichopoda),(Arabidopsis_thaliana,Solanum_lycopersicum)),Glycine_max);
15	1	6	(((((Vitis_vinifera,Glycine_max),Solanum_lycopersicum),Amborella_trichopoda),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
16	1	6	((((Vitis_vinifera,Glycine_max),Solanum_lycopersicum),(Arabidopsis_thaliana,Amborella_trichopoda)),Oryza_sativa_L.Nipponbare);
17	1	5	(((Vitis_vinifera,(Arabidopsis_thaliana,Glycine_max)),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare);
18	1	6	(((((Vitis_vinifera,Amborella_trichopoda),Glycine_max),Solanum_lycopersicum),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
19	1	5	((((Vitis_vinifera,Arabidopsis_thaliana),Solanum_lycopersicum),Glycine_max),Amborella_trichopoda);
20	1	6	(((((Vitis_vinifera,Solanum_lycopersicum),Glycine_max),Amborella_trichopoda),Oryza_sativa_L.Nipponbare),Arabidopsis_thaliana);
