Topology_ID	Topology_num	Topology	Tree_IDs
187	9	((ARA,ORY),(CER,(CHL,LIR)));	OG_100314_35_T2_5,OG_100964_21_T1_5,OG_103194_11_T1_5,OG_104735_9_T1_5,OG_105064_9_T1_5,OG_108286_6_T1_5,OG_109928_4_T1_5,OG_110828_4_T1_5,OG_110840_4_T1_5
188	9	(AMB,((ARA,(CHL,LIR)),ORY));	OG_104362_9_T1_5,OG_104616_9_T1_5,OG_105764_8_T1_5,OG_107296_6_T1_5,OG_108735_5_T1_5,OG_109059_5_T1_5,OG_110465_4_T1_5,OG_110610_4_T1_5,OG_110696_4_T1_5
189	9	(((AMB,LIR),NYM),GIN);	OG_100026_90_T3_4,OG_101075_20_T2_4,OG_102091_14_T2_4,OG_103702_10_T1_4,OG_105302_8_T1_4,OG_106731_7_T1_4,OG_108552_5_T1_4,OG_108612_5_T1_4,OG_110694_4_T1_4
190	9	((ARA,CER),(CHL,LIR));	OG_100050_72_T4_4,OG_100050_72_T5_4,OG_100152_50_T3_4,OG_100164_48_T2_4,OG_100295_36_T4_4,OG_100691_25_T2_4,OG_100847_23_T2_4,OG_100984_21_T2_4,OG_101975_15_T2_4
191	9	(((CER,CHL),LIR),ORY);	OG_101619_17_T1_4,OG_107507_6_T1_4,OG_107941_6_T1_4,OG_107993_6_T1_4,OG_109896_4_T1_4,OG_110141_4_T1_4,OG_110885_4_T1_4,OG_110917_4_T1_4,OG_110921_4_T1_4
192	8	(((AMB,(ARA,(CER,(CHL,(LIR,ORY))))),NYM),GIN);	OG_100073_66_T2_8,OG_100091_63_T1_8,OG_100184_45_T1_8,OG_100410_31_T1_8,OG_102233_14_T1_8,OG_103510_11_T1_8,OG_103595_11_T1_8,OG_103716_10_T1_8
193	8	(((AMB,((ARA,CER),((CHL,LIR),ORY))),NYM),GIN);	OG_100137_53_T1_8,OG_100222_41_T1_8,OG_100227_41_T1_8,OG_100291_36_T2_8,OG_102246_14_T1_8,OG_102911_12_T1_8,OG_103427_11_T1_8,OG_103728_10_T1_8
194	8	(((AMB,(((ARA,CER),(CHL,LIR)),ORY)),NYM),GIN);	OG_100139_53_T1_8,OG_100355_33_T1_8,OG_101213_19_T1_8,OG_101750_16_T1_8,OG_103169_11_T1_8,OG_105879_8_T1_8,OG_105979_8_T1_8,OG_106330_7_T1_8
195	8	(((AMB,((((ARA,ORY),CER),CHL),LIR)),NYM),GIN);	OG_100687_25_T1_8,OG_101195_19_T1_8,OG_101321_18_T1_8,OG_101359_18_T1_8,OG_101377_18_T1_8,OG_102571_13_T1_8,OG_103813_10_T1_8,OG_104828_9_T1_8
196	8	(((AMB,((ARA,ORY),(CER,LIR))),NYM),GIN);	OG_100093_62_T3_7,OG_103482_11_T1_7,OG_104703_9_T1_7,OG_104823_9_T1_7,OG_104891_9_T1_7,OG_106697_7_T1_7,OG_107865_6_T1_7,OG_108089_6_T1_7
197	8	((AMB,((ARA,((CER,LIR),CHL)),NYM)),GIN);	OG_100199_44_T1_7,OG_100825_23_T1_7,OG_101918_15_T1_7,OG_103380_11_T1_7,OG_104030_10_T1_7,OG_104627_9_T1_7,OG_105175_8_T1_7,OG_105274_8_T1_7
198	8	(((AMB,(((ARA,CER),CHL),LIR)),NYM),GIN);	OG_100255_39_T1_7,OG_100455_30_T1_7,OG_100557_27_T1_7,OG_100668_25_T1_7,OG_104138_10_T1_7,OG_104604_9_T1_7,OG_104677_9_T1_7,OG_107014_7_T1_7
199	8	(AMB,(((((ARA,CER),LIR),CHL),ORY),NYM));	OG_100267_38_T3_7,OG_103520_11_T1_7,OG_104514_9_T1_7,OG_105250_8_T1_7,OG_105996_8_T1_7,OG_106804_7_T1_7,OG_107877_6_T1_7,OG_108208_6_T1_7
200	8	((AMB,((((ARA,CHL),LIR),ORY),NYM)),GIN);	OG_101323_18_T1_7,OG_102326_14_T1_7,OG_102444_13_T1_7,OG_102861_12_T1_7,OG_103381_11_T1_7,OG_103974_10_T1_7,OG_106318_7_T1_7,OG_108045_6_T1_7
201	8	(AMB,(((ARA,(CER,ORY)),(CHL,LIR)),NYM));	OG_101676_16_T1_7,OG_104915_9_T1_7,OG_105750_8_T1_7,OG_105923_8_T1_7,OG_106294_7_T1_7,OG_106348_7_T1_7,OG_107461_6_T1_7,OG_107547_6_T1_7
202	8	(AMB,((((ARA,ORY),NYM),CER),(CHL,LIR)));	OG_102173_14_T1_7,OG_103892_10_T1_7,OG_104464_9_T1_7,OG_105304_8_T1_7,OG_105789_8_T1_7,OG_105814_8_T1_7,OG_106553_7_T1_7,OG_107292_6_T1_7
203	8	(((AMB,((ARA,CHL),LIR)),NYM),GIN);	OG_100005_158_T10_6,OG_100005_158_T8_6,OG_101149_20_T1_6,OG_102405_13_T1_6,OG_106434_7_T1_6,OG_106789_7_T1_6,OG_106908_7_T1_6,OG_108720_5_T1_6
204	8	((AMB,((ARA,ORY),(CHL,LIR))),NYM);	OG_100018_100_T4_6,OG_100141_53_T3_6,OG_100144_52_T2_6,OG_100173_46_T3_6,OG_100173_46_T4_6,OG_100276_37_T2_6,OG_100726_24_T2_6,OG_101006_21_T1_6
205	8	(AMB,(((CER,ORY),(CHL,LIR)),NYM));	OG_100026_90_T2_6,OG_101080_20_T1_6,OG_101773_16_T1_6,OG_102648_13_T1_6,OG_103992_10_T1_6,OG_104866_9_T1_6,OG_106159_7_T1_6,OG_107627_6_T1_6
206	8	((AMB,((CHL,(LIR,ORY)),NYM)),GIN);	OG_100118_57_T3_6,OG_100118_57_T4_6,OG_100657_25_T1_6,OG_102133_14_T1_6,OG_104178_10_T1_6,OG_106940_7_T1_6,OG_107790_6_T1_6,OG_108614_5_T1_6
207	8	((AMB,((ARA,(CER,LIR)),NYM)),GIN);	OG_100576_27_T1_6,OG_103682_10_T1_6,OG_105331_8_T1_6,OG_105359_8_T1_6,OG_105719_8_T1_6,OG_106954_7_T1_6,OG_107431_6_T1_6,OG_107952_6_T1_6
208	8	(((ARA,ORY),(CER,(CHL,LIR))),NYM);	OG_100640_26_T2_6,OG_102505_13_T1_6,OG_102535_13_T1_6,OG_103318_11_T1_6,OG_104502_9_T1_6,OG_107066_7_T1_6,OG_108182_6_T1_6,OG_108248_6_T1_6
209	8	(AMB,(((ARA,ORY),(CER,CHL)),NYM));	OG_101514_17_T1_6,OG_102832_12_T1_6,OG_104653_9_T1_6,OG_104856_9_T1_6,OG_105773_8_T1_6,OG_106245_7_T1_6,OG_108546_5_T1_6,OG_108859_5_T1_6
210	8	(((AMB,((ARA,ORY),LIR)),NYM),GIN);	OG_102359_13_T1_6,OG_103374_11_T1_6,OG_103597_11_T1_6,OG_103699_10_T1_6,OG_105641_8_T1_6,OG_106361_7_T1_6,OG_107774_6_T1_6,OG_108171_6_T1_6
211	8	(AMB,((ARA,((CHL,ORY),LIR)),NYM));	OG_102737_12_T1_6,OG_105291_8_T1_6,OG_106828_7_T1_6,OG_107326_6_T1_6,OG_107333_6_T1_6,OG_108201_6_T1_6,OG_108581_5_T1_6,OG_109262_5_T1_6
212	8	(AMB,((ARA,CER),(CHL,(LIR,ORY))));	OG_102791_12_T1_6,OG_103889_10_T1_6,OG_106447_7_T1_6,OG_106551_7_T1_6,OG_106657_7_T1_6,OG_107485_6_T1_6,OG_108006_6_T1_6,OG_108828_5_T1_6
213	8	((AMB,((ARA,CER),LIR)),GIN);	OG_100013_112_T1_5,OG_100014_110_T8_5,OG_100014_110_T9_5,OG_103585_11_T1_5,OG_105721_8_T1_5,OG_109202_5_T1_5,OG_109377_5_T1_5,OG_110459_4_T1_5
214	8	((AMB,((ARA,ORY),LIR)),GIN);	OG_100024_92_T5_5,OG_102915_12_T1_5,OG_106194_7_T1_5,OG_108854_5_T1_5,OG_109251_5_T1_5,OG_110335_4_T1_5,OG_110430_4_T1_5,OG_110617_4_T1_5
215	8	(((AMB,NYM),(CHL,LIR)),GIN);	OG_100063_67_T1_5,OG_100257_39_T2_5,OG_100733_24_T3_5,OG_101433_18_T1_5,OG_104191_10_T1_5,OG_104387_9_T1_5,OG_108041_6_T1_5,OG_110447_4_T1_5
216	8	((AMB,((CHL,LIR),ORY)),GIN);	OG_100200_44_T1_5,OG_100333_34_T2_5,OG_100484_29_T1_5,OG_101582_17_T1_5,OG_107442_6_T1_5,OG_107462_6_T1_5,OG_108657_5_T1_5,OG_108843_5_T1_5
217	8	((AMB,((ARA,LIR),CHL)),GIN);	OG_100259_39_T3_5,OG_101948_15_T2_5,OG_106919_7_T1_5,OG_108722_5_T1_5,OG_109193_5_T1_5,OG_110310_4_T1_5,OG_110458_4_T1_5,OG_110663_4_T1_5
218	8	(AMB,(((ARA,ORY),CHL),NYM));	OG_101171_19_T2_5,OG_101532_17_T1_5,OG_104854_9_T1_5,OG_105794_8_T1_5,OG_107762_6_T1_5,OG_108836_5_T1_5,OG_109180_5_T1_5,OG_110094_4_T1_5
219	8	(AMB,(((ARA,ORY),NYM),LIR));	OG_102879_12_T1_5,OG_106757_7_T1_5,OG_106936_7_T1_5,OG_107342_6_T1_5,OG_107830_6_T1_5,OG_108179_6_T1_5,OG_108556_5_T1_5,OG_109260_5_T1_5
220	8	((AMB,(CHL,LIR)),NYM);	OG_100001_192_T8_4,OG_100071_66_T4_4,OG_100071_66_T5_4,OG_100647_26_T1_4,OG_101018_21_T3_4,OG_101291_18_T2_4,OG_101541_17_T2_4,OG_106208_7_T1_4
221	8	((ARA,(CHL,LIR)),GIN);	OG_100144_52_T5_4,OG_100326_34_T3_4,OG_105749_8_T1_4,OG_109318_5_T1_4,OG_109455_5_T1_4,OG_110682_4_T1_4,OG_110689_4_T1_4,OG_110822_4_T1_4
222	8	(ARA,((CER,CHL),LIR));	OG_100178_45_T3_4,OG_100178_45_T4_4,OG_100678_25_T2_4,OG_108259_6_T1_4,OG_110627_4_T1_4,OG_110729_4_T1_4,OG_110734_4_T1_4,OG_110798_4_T1_4
223	8	(AMB,(ARA,(LIR,ORY)));	OG_100331_34_T2_4,OG_101312_18_T2_4,OG_103352_11_T1_4,OG_107837_6_T1_4,OG_109279_5_T1_4,OG_109924_4_T1_4,OG_110434_4_T1_4,OG_110499_4_T1_4
224	8	(((CER,CHL),LIR),NYM);	OG_100408_31_T2_4,OG_107099_7_T1_4,OG_108628_5_T1_4,OG_109533_5_T1_4,OG_109892_4_T1_4,OG_110899_4_T1_4,OG_110923_4_T1_4,OG_110932_4_T1_4
225	8	(((CER,LIR),CHL),NYM);	OG_100623_26_T2_4,OG_101049_21_T1_4,OG_101597_17_T1_4,OG_102953_12_T1_4,OG_106550_7_T1_4,OG_109010_5_T1_4,OG_109512_5_T1_4,OG_109942_4_T1_4
226	8	(AMB,(ARA,(LIR,NYM)));	OG_100886_22_T1_4,OG_102411_13_T1_4,OG_105333_8_T1_4,OG_106702_7_T1_4,OG_108675_5_T1_4,OG_108785_5_T1_4,OG_109106_5_T1_4,OG_109331_5_T1_4
227	8	(AMB,(LIR,(NYM,ORY)));	OG_100960_21_T2_4,OG_101469_17_T1_4,OG_102019_15_T1_4,OG_104064_10_T1_4,OG_105768_8_T1_4,OG_109885_4_T1_4,OG_110274_4_T1_4,OG_110462_4_T1_4
228	8	(AMB,(ARA,(CER,LIR)));	OG_101348_18_T2_4,OG_101355_18_T2_4,OG_101666_16_T1_4,OG_105443_8_T1_4,OG_107919_6_T1_4,OG_108770_5_T1_4,OG_109221_5_T1_4,OG_110646_4_T1_4
229	8	((ARA,CHL),(LIR,ORY));	OG_106030_8_T1_4,OG_109316_5_T1_4,OG_109456_5_T1_4,OG_109487_5_T1_4,OG_109880_4_T1_4,OG_110402_4_T1_4,OG_110466_4_T1_4,OG_110852_4_T1_4
230	7	((((AMB,NYM),((ARA,CER),(CHL,LIR))),ORY),GIN);	OG_100006_156_T2_8,OG_100029_85_T2_8,OG_100173_46_T1_8,OG_100314_35_T1_8,OG_102297_14_T1_8,OG_104051_10_T1_8,OG_104078_10_T1_8
231	7	(((AMB,NYM),((ARA,CER),((CHL,LIR),ORY))),GIN);	OG_100010_118_T2_8,OG_100786_23_T1_8,OG_101293_18_T1_8,OG_101615_17_T1_8,OG_102545_13_T1_8,OG_103376_11_T1_8,OG_105471_8_T1_8
232	7	((AMB,((ARA,CER),((CHL,LIR),(NYM,ORY)))),GIN);	OG_100016_103_T2_8,OG_100477_29_T1_8,OG_100566_27_T1_8,OG_101182_19_T1_8,OG_102018_15_T1_8,OG_102066_14_T1_8,OG_103903_10_T1_8
233	7	(((AMB,NYM),((((ARA,CER),CHL),LIR),ORY)),GIN);	OG_100035_84_T2_8,OG_100097_62_T2_8,OG_100733_24_T1_8,OG_101194_19_T1_8,OG_101995_15_T1_8,OG_102161_14_T1_8,OG_105833_8_T1_8
234	7	(((AMB,((((ARA,CER),CHL),LIR),ORY)),NYM),GIN);	OG_100185_45_T2_8,OG_100239_39_T1_8,OG_100554_27_T1_8,OG_100616_26_T1_8,OG_100745_24_T2_8,OG_102148_14_T1_8,OG_105441_8_T1_8
235	7	((AMB,((ARA,(NYM,ORY)),((CER,CHL),LIR))),GIN);	OG_100685_25_T1_8,OG_100740_24_T1_8,OG_102107_14_T1_8,OG_102215_14_T1_8,OG_104055_10_T1_8,OG_105652_8_T1_8,OG_105714_8_T1_8
236	7	(((AMB,((ARA,CER),((CHL,ORY),LIR))),NYM),GIN);	OG_100874_22_T1_8,OG_101127_20_T1_8,OG_101402_18_T1_8,OG_102141_14_T1_8,OG_102459_13_T1_8,OG_103208_11_T1_8,OG_103894_10_T1_8
237	7	((((AMB,NYM),(CER,(CHL,LIR))),(ARA,ORY)),GIN);	OG_101005_21_T1_8,OG_101824_15_T1_8,OG_101862_15_T1_8,OG_102200_14_T1_8,OG_102738_12_T1_8,OG_102971_12_T1_8,OG_103020_12_T1_8
238	7	((AMB,(ARA,(CER,(CHL,(LIR,(NYM,ORY)))))),GIN);	OG_102601_13_T1_8,OG_102918_12_T1_8,OG_102977_12_T1_8,OG_103553_11_T1_8,OG_105254_8_T1_8,OG_105319_8_T1_8,OG_105817_8_T1_8
239	7	((AMB,(((CER,ORY),(CHL,LIR)),NYM)),GIN);	OG_100072_66_T2_7,OG_100096_62_T1_7,OG_100247_39_T2_7,OG_100836_23_T1_7,OG_102949_12_T1_7,OG_104612_9_T1_7,OG_108143_6_T1_7
240	7	((AMB,(((ARA,(CHL,ORY)),LIR),NYM)),GIN);	OG_100117_57_T4_7,OG_100258_39_T1_7,OG_100426_31_T1_7,OG_100548_27_T1_7,OG_103359_11_T1_7,OG_103811_10_T1_7,OG_104462_9_T1_7
241	7	(((AMB,NYM),((ARA,ORY),(CER,LIR))),GIN);	OG_100192_44_T2_7,OG_100801_23_T1_7,OG_101327_18_T1_7,OG_101722_16_T1_7,OG_101738_16_T1_7,OG_103543_11_T1_7,OG_107987_6_T1_7
242	7	(AMB,((((ARA,ORY),NYM),(CHL,LIR)),CER));	OG_100226_41_T1_7,OG_101338_18_T1_7,OG_104554_9_T1_7,OG_105375_8_T1_7,OG_105613_8_T1_7,OG_105771_8_T1_7,OG_106181_7_T1_7
243	7	((AMB,(((ARA,(CHL,LIR)),ORY),NYM)),GIN);	OG_100283_37_T2_7,OG_100334_34_T2_7,OG_101130_20_T1_7,OG_104833_9_T1_7,OG_105360_8_T1_7,OG_106429_7_T1_7,OG_106545_7_T1_7
244	7	((AMB,((ARA,(NYM,ORY)),(CHL,LIR))),GIN);	OG_100453_30_T1_7,OG_103382_11_T1_7,OG_103593_11_T1_7,OG_104517_9_T1_7,OG_105913_8_T1_7,OG_106805_7_T1_7,OG_107686_6_T1_7
245	7	(AMB,((((ARA,CHL),LIR),(CER,ORY)),NYM));	OG_100458_30_T1_7,OG_100693_25_T1_7,OG_101988_15_T1_7,OG_103611_11_T1_7,OG_104619_9_T1_7,OG_104684_9_T1_7,OG_106309_7_T1_7
246	7	(((AMB,(ARA,((CHL,LIR),ORY))),NYM),GIN);	OG_100727_24_T2_7,OG_100981_21_T1_7,OG_101289_18_T1_7,OG_103187_11_T1_7,OG_104061_10_T1_7,OG_105436_8_T1_7,OG_105474_8_T1_7
247	7	(((AMB,(((ARA,ORY),CER),LIR)),NYM),GIN);	OG_100844_23_T1_7,OG_100855_23_T1_7,OG_100978_21_T1_7,OG_101250_19_T1_7,OG_102080_14_T1_7,OG_102264_14_T1_7,OG_104226_10_T1_7
248	7	(((AMB,NYM),(((ARA,ORY),LIR),CER)),GIN);	OG_101526_17_T1_7,OG_102783_12_T1_7,OG_103952_10_T1_7,OG_104490_9_T1_7,OG_104819_9_T1_7,OG_105481_8_T1_7,OG_107716_6_T1_7
249	7	(AMB,((ARA,CER),(CHL,(LIR,(NYM,ORY)))));	OG_101559_17_T1_7,OG_101932_15_T1_7,OG_101958_15_T1_7,OG_103758_10_T1_7,OG_104405_9_T1_7,OG_106259_7_T1_7,OG_106515_7_T1_7
250	7	(((AMB,NYM),(((ARA,CER),CHL),LIR)),GIN);	OG_102073_14_T1_7,OG_103265_11_T1_7,OG_104179_10_T1_7,OG_104631_9_T1_7,OG_104902_9_T1_7,OG_106488_7_T1_7,OG_108022_6_T1_7
251	7	(AMB,((ARA,CER),((CHL,LIR),(NYM,ORY))));	OG_102722_12_T1_7,OG_104338_9_T1_7,OG_104731_9_T1_7,OG_104744_9_T1_7,OG_104968_9_T1_7,OG_107842_6_T1_7,OG_108078_6_T1_7
252	7	(AMB,((ARA,((CER,CHL),(LIR,ORY))),NYM));	OG_103322_11_T1_7,OG_104185_10_T1_7,OG_104323_9_T1_7,OG_104469_9_T1_7,OG_106510_7_T1_7,OG_106674_7_T1_7,OG_107583_6_T1_7
253	7	((((AMB,NYM),(CHL,LIR)),ARA),GIN);	OG_100036_83_T5_6,OG_100853_23_T2_6,OG_103475_11_T1_6,OG_104659_9_T1_6,OG_107544_6_T1_6,OG_107633_6_T1_6,OG_109310_5_T1_6
254	7	((((ARA,CER),(CHL,LIR)),ORY),NYM);	OG_100096_62_T3_6,OG_100096_62_T4_6,OG_100558_27_T1_6,OG_107051_7_T1_6,OG_107316_6_T1_6,OG_108277_6_T1_6,OG_108887_5_T1_6
255	7	((AMB,(((ARA,ORY),CHL),NYM)),GIN);	OG_100104_60_T6_6,OG_100572_27_T1_6,OG_102198_14_T1_6,OG_102520_13_T1_6,OG_105269_8_T1_6,OG_105806_8_T1_6,OG_106412_7_T1_6
256	7	(AMB,(((CER,(CHL,LIR)),ORY),NYM));	OG_100155_49_T4_6,OG_100591_27_T1_6,OG_103766_10_T1_6,OG_105321_8_T1_6,OG_105792_8_T1_6,OG_108166_6_T1_6,OG_109184_5_T1_6
257	7	(((AMB,(CER,(CHL,LIR))),NYM),GIN);	OG_100184_45_T4_6,OG_100239_39_T2_6,OG_102266_14_T1_6,OG_102771_12_T1_6,OG_104560_9_T1_6,OG_105258_8_T1_6,OG_107289_6_T1_6
258	7	((AMB,(((ARA,LIR),ORY),NYM)),GIN);	OG_100243_39_T3_6,OG_102425_13_T2_6,OG_103261_11_T1_6,OG_104574_9_T1_6,OG_105643_8_T1_6,OG_108191_6_T1_6,OG_108660_5_T1_6
259	7	(AMB,((ARA,NYM),(CHL,(LIR,ORY))));	OG_100265_38_T3_6,OG_100390_32_T1_6,OG_102725_12_T1_6,OG_104640_9_T1_6,OG_107761_6_T1_6,OG_108806_5_T1_6,OG_109326_5_T1_6
260	7	(((AMB,((ARA,LIR),ORY)),NYM),GIN);	OG_100286_36_T3_6,OG_100286_36_T4_6,OG_100685_25_T2_6,OG_105922_8_T1_6,OG_106285_7_T1_6,OG_106401_7_T1_6,OG_108157_6_T1_6
261	7	(((AMB,((ARA,CER),LIR)),NYM),GIN);	OG_100480_29_T1_6,OG_101720_16_T2_6,OG_103607_11_T1_6,OG_103936_10_T1_6,OG_107740_6_T1_6,OG_108137_6_T1_6,OG_108173_6_T1_6
262	7	((AMB,(((ARA,LIR),CHL),NYM)),GIN);	OG_100528_28_T1_6,OG_101473_17_T2_6,OG_106177_7_T1_6,OG_107755_6_T1_6,OG_108736_5_T1_6,OG_109100_5_T1_6,OG_109139_5_T1_6
263	7	(AMB,(((ARA,(CER,CHL)),LIR),NYM));	OG_100845_23_T1_6,OG_105667_8_T1_6,OG_106327_7_T1_6,OG_106524_7_T1_6,OG_106661_7_T1_6,OG_107419_6_T1_6,OG_107937_6_T1_6
264	7	(((((ARA,CER),CHL),LIR),ORY),NYM);	OG_100970_21_T1_6,OG_101039_21_T2_6,OG_103093_12_T1_6,OG_103976_10_T1_6,OG_104230_10_T1_6,OG_106844_7_T1_6,OG_109141_5_T1_6
265	7	(((AMB,NYM),((ARA,CER),LIR)),GIN);	OG_101185_19_T1_6,OG_102898_12_T1_6,OG_106636_7_T1_6,OG_107566_6_T1_6,OG_107713_6_T1_6,OG_107844_6_T1_6,OG_108575_5_T1_6
266	7	(AMB,((((ARA,CER),CHL),LIR),ORY));	OG_101899_15_T1_6,OG_102117_14_T1_6,OG_104857_9_T1_6,OG_104931_9_T1_6,OG_105830_8_T1_6,OG_108662_5_T1_6,OG_108800_5_T1_6
267	7	(AMB,((ARA,CER),(LIR,ORY)));	OG_100028_88_T6_5,OG_105449_8_T1_5,OG_105510_8_T1_5,OG_105804_8_T1_5,OG_106795_7_T1_5,OG_109090_5_T1_5,OG_110392_4_T1_5
268	7	((AMB,((LIR,ORY),NYM)),GIN);	OG_100101_61_T1_5,OG_102654_13_T1_5,OG_104455_9_T1_5,OG_106341_7_T1_5,OG_107670_6_T1_5,OG_110013_4_T1_5,OG_110192_4_T1_5
269	7	((AMB,((CER,LIR),NYM)),GIN);	OG_100220_41_T2_5,OG_101011_21_T1_5,OG_103158_11_T1_5,OG_104235_10_T1_5,OG_104474_9_T1_5,OG_105429_8_T1_5,OG_110524_4_T1_5
270	7	(AMB,((ARA,(CHL,LIR)),CER));	OG_100764_24_T2_5,OG_100780_23_T2_5,OG_108037_6_T1_5,OG_108651_5_T1_5,OG_110113_4_T1_5,OG_110401_4_T1_5,OG_110472_4_T1_5
271	7	((ARA,CER),(CHL,(LIR,ORY)));	OG_100769_24_T2_5,OG_104245_10_T1_5,OG_108260_6_T1_5,OG_108264_6_T1_5,OG_108271_6_T1_5,OG_109424_5_T1_5,OG_109495_5_T1_5
272	7	(AMB,((CER,CHL),(NYM,ORY)));	OG_100786_23_T2_5,OG_102365_13_T1_5,OG_105978_8_T1_5,OG_106204_7_T1_5,OG_107957_6_T1_5,OG_108690_5_T1_5,OG_108964_5_T1_5
273	7	(AMB,(ARA,(CHL,(LIR,ORY))));	OG_101199_19_T1_5,OG_107572_6_T1_5,OG_109241_5_T1_5,OG_109284_5_T1_5,OG_109973_4_T1_5,OG_110541_4_T1_5,OG_110633_4_T1_5
274	7	(AMB,(((ARA,ORY),CHL),LIR));	OG_101687_16_T2_5,OG_107933_6_T1_5,OG_108067_6_T1_5,OG_108114_6_T1_5,OG_108857_5_T1_5,OG_109267_5_T1_5,OG_110497_4_T1_5
275	7	(AMB,(((ARA,LIR),CHL),CER));	OG_105362_8_T1_5,OG_105519_8_T1_5,OG_106170_7_T1_5,OG_108551_5_T1_5,OG_108781_5_T1_5,OG_110418_4_T1_5,OG_110449_4_T1_5
276	7	(AMB,((CER,NYM),LIR));	OG_100017_100_T5_4,OG_100017_99_T6_4,OG_100017_99_T7_4,OG_103375_11_T1_4,OG_105218_8_T1_4,OG_106544_7_T1_4,OG_110587_4_T1_4
277	7	(((ARA,LIR),NYM),GIN);	OG_100033_84_T6_4,OG_100033_84_T7_4,OG_107878_6_T1_4,OG_108247_6_T1_4,OG_109485_5_T1_4,OG_110398_4_T1_4,OG_110457_4_T1_4
278	7	(AMB,((ARA,CER),NYM));	OG_100058_68_T5_4,OG_100750_24_T2_4,OG_106853_7_T1_4,OG_107510_6_T1_4,OG_108995_5_T1_4,OG_109197_5_T1_4,OG_110059_4_T1_4
279	7	((AMB,NYM),(ARA,LIR));	OG_100078_64_T7_4,OG_100132_54_T6_4,OG_100243_39_T4_4,OG_100243_39_T5_4,OG_100266_38_T2_4,OG_100564_27_T2_4,OG_101185_19_T2_4
280	7	(AMB,((ARA,LIR),ORY));	OG_100319_35_T3_4,OG_100319_35_T4_4,OG_101829_15_T2_4,OG_104169_10_T1_4,OG_107489_6_T1_4,OG_107935_6_T1_4,OG_109964_4_T1_4
281	7	(((CHL,LIR),NYM),GIN);	OG_101050_21_T1_4,OG_102144_14_T1_4,OG_108049_6_T1_4,OG_108353_6_T1_4,OG_109271_5_T1_4,OG_109569_5_T1_4,OG_110993_4_T1_4
282	6	((AMB,(((ARA,ORY),NYM),((CER,CHL),LIR))),GIN);	OG_100006_156_T1_8,OG_100866_22_T1_8,OG_102822_12_T1_8,OG_103365_11_T1_8,OG_104494_9_T1_8,OG_106395_7_T1_8
283	6	((AMB,((ARA,(NYM,ORY)),(CER,(CHL,LIR)))),GIN);	OG_100006_157_T1_8,OG_102386_13_T1_8,OG_102575_13_T1_8,OG_102839_12_T1_8,OG_105324_8_T1_8,OG_105585_8_T1_8
284	6	((AMB,(((((ARA,CER),LIR),CHL),ORY),NYM)),GIN);	OG_100018_100_T2_8,OG_102569_13_T1_8,OG_103748_10_T1_8,OG_104716_9_T1_8,OG_104836_9_T1_8,OG_105401_8_T1_8
285	6	((((AMB,ORY),((ARA,CER),(CHL,LIR))),NYM),GIN);	OG_100040_79_T1_8,OG_100529_28_T1_8,OG_102130_14_T1_8,OG_102408_13_T1_8,OG_104004_10_T1_8,OG_105754_8_T1_8
286	6	((AMB,((ARA,(CER,(CHL,LIR))),(NYM,ORY))),GIN);	OG_100176_46_T1_8,OG_101767_16_T1_8,OG_102802_12_T1_8,OG_103269_11_T1_8,OG_103507_11_T1_8,OG_106999_7_T1_8
287	6	((AMB,((((ARA,(LIR,ORY)),CHL),CER),NYM)),GIN);	OG_100220_41_T1_8,OG_100850_23_T1_8,OG_102588_13_T1_8,OG_103210_11_T1_8,OG_104970_9_T1_8,OG_105573_8_T1_8
288	6	(((AMB,NYM),((ARA,(CER,ORY)),(CHL,LIR))),GIN);	OG_100251_39_T1_8,OG_101376_18_T1_8,OG_102646_13_T1_8,OG_103205_11_T1_8,OG_104017_10_T1_8,OG_105556_8_T1_8
289	6	((AMB,((ARA,(((CER,CHL),LIR),ORY)),NYM)),GIN);	OG_100254_39_T2_8,OG_100578_27_T1_8,OG_100967_21_T1_8,OG_102998_12_T1_8,OG_103850_10_T1_8,OG_106762_7_T1_8
290	6	((AMB,((ARA,((CER,CHL),LIR)),(NYM,ORY))),GIN);	OG_100262_38_T1_8,OG_100662_25_T1_8,OG_101039_21_T1_8,OG_101432_18_T1_8,OG_102065_14_T1_8,OG_103273_11_T1_8
291	6	(((AMB,((ARA,ORY),((CER,LIR),CHL))),NYM),GIN);	OG_100265_38_T1_8,OG_100537_28_T1_8,OG_102262_14_T1_8,OG_102746_12_T1_8,OG_103527_11_T1_8,OG_105326_8_T1_8
292	6	((AMB,(((((ARA,ORY),LIR),CER),CHL),NYM)),GIN);	OG_100276_37_T1_8,OG_100559_27_T1_8,OG_102801_12_T1_8,OG_104086_10_T1_8,OG_106235_7_T1_8,OG_106776_7_T1_8
293	6	((AMB,((((ARA,CER),(LIR,ORY)),CHL),NYM)),GIN);	OG_100911_22_T1_8,OG_101094_20_T1_8,OG_101617_17_T1_8,OG_102436_13_T1_8,OG_103531_11_T1_8,OG_106445_7_T1_8
294	6	(((AMB,(ARA,((CER,ORY),(CHL,LIR)))),NYM),GIN);	OG_100920_22_T1_8,OG_101167_19_T1_8,OG_102469_13_T1_8,OG_103335_11_T1_8,OG_105235_8_T1_8,OG_105605_8_T1_8
