GeneID,leaf.ammonium,leaf.nitrate,leaf.urea,root.ammonium,root.nitrate,root.urea
AT3G53290,0,0,0,0,0,0
AT3G53294,0.127,0,0,0,0.373,0
AT3G53300,0,0,0,0,0,0
AT3G53305,0,0.029,0,0,0.015,0
AT3G53310,7.588,7.215,6.615,0.65,0.278,0.304
AT3G53320,2.26,2.666,2.653,6.317,7.008,6.474
AT3G53330,0,0,0,0,0.017,0
AT3G53340,7.526,9.127,9.326,17.407,19.933,18.025
AT3G53342,0,0,0,0,0,0
AT3G53350,1.193,2.442,1.614,9.01,12.344,9.895
AT3G53360,1.278,2.337,1.614,2.325,2.237,2.307
AT3G53370,4.562,5.639,3.75,6.599,5.645,4.201
AT3G53380,1.832,2.902,2.858,9.661,13.389,11.507
AT3G53390,9.871,12.345,9.738,14.799,13.565,13.826
AT3G53400,15.749,14.707,15.816,10.875,9.036,9.996
AT3G53410,8.866,9.482,7.391,10.855,8.455,11.146
AT3G53420,216.176,211.379,209.891,148.483,160.565,122.342
AT3G53430,103.329,147.754,131.593,177.87,211.279,180.699
AT3G53440,2.276,3.713,2.025,4.842,5.017,4.467
AT3G53450,0.239,0.398,0.342,9.866,4.608,7.994
AT3G53460,433.13,440.062,530.347,42.366,30.978,38.377
AT3G53470,65.872,37.47,58.887,3.042,0.75,1.921
AT3G53480,0.244,0.064,0.09,16.304,6.236,6.022
AT3G53490,5.707,6.842,4.549,7.739,6.317,6.527
AT3G53500,32.406,32.758,32.147,51.072,47.348,52.195
AT3G53510,0.086,0.055,0.038,5.254,6.799,3.181
AT3G53520,24.706,24.171,23.52,43.471,44.384,42.018
AT3G53530,7.952,3.79,9.107,0.287,0.308,0.321
AT3G53540,7.626,8.004,6.141,31.963,25.059,23.295
AT3G53550,0.021,0.018,0,0,0,0
AT3G53560,35.483,36.937,47.352,8.079,7.508,7.86
AT3G53570,9.215,8.468,9.394,14.148,10.316,13.211
AT3G53580,54.433,50.766,54.939,40.062,42.141,35.597
AT3G53590,0.037,0.017,0.028,1.058,0.365,0.541
AT3G53600,0.451,0.623,1.197,2.451,4.838,1.628
AT3G53610,34.527,28.767,32.1,46.215,41.467,44.187
AT3G53611,0,0,0,0,0.1,0
AT3G53620,11.185,18.227,12.482,73.805,106.427,83.367
AT3G53630,16.535,25.121,18.657,28.089,25.524,29.745
AT3G53640,0.006,0.008,0.009,0,0,0.008
AT3G53650,1.715,6.134,2.197,4.327,8.582,3.233
AT3G53670,40.304,64.257,33.106,53.966,46.755,48.111
AT3G53680,1.696,2.312,2.086,2.983,2.829,3.073
AT3G53690,1.229,1.181,0.745,1.771,1.368,1.662
AT3G53700,6.652,9.061,9.173,3.427,3.461,3.748
AT3G53710,25.526,31.673,23.934,31.782,36.258,29.432
AT3G53720,4.239,4.883,4.078,0.111,0.092,0.074
AT3G53730,18.139,34.569,23.41,27.518,34.6,25.539
AT3G53740,155.487,182.219,183.574,334.089,358.582,313.412
AT3G53750,7.27,12.889,10.011,17.847,26.545,18.422
AT3G53760,2.622,6.866,4.435,8.983,9.31,8.484
AT3G53770,0,0,0,0,0,0
AT3G53780,11.522,16.779,9.38,14.976,13.599,11.257
AT3G53790,0,0.059,0.018,0,0,0
AT3G53800,29.814,25.347,26.668,0.54,0.489,0.737
AT3G53810,7.855,8.631,7.632,7.095,6.343,7.228
AT3G53820,0.024,0,0,0.566,0.142,0.182
AT3G53830,5.681,1.341,2.683,6.848,3.257,4.465
AT3G53840,0.201,0.211,0.337,1.067,0.91,0.701
AT3G53850,8.827,11.066,11.425,9.592,9.825,10.317
AT3G53860,2.084,2.264,2.162,3.398,2.52,2.532
AT3G53870,205.87,261.925,236.348,251.479,303.587,228.402
AT3G53880,7.044,6.691,6.652,12.745,11.905,11.13
AT3G53890,95.734,145.914,117.374,169.42,224.295,187.449
AT3G53900,12.21,16.475,18.577,6.626,8.407,6.233
AT3G53910,0,0,0.052,0.049,0,0
AT3G53920,22.107,25.383,26.058,6.29,4.498,6.181
AT3G53930,4.731,4.648,4.509,8.202,6.652,6.886
AT3G53940,1.205,2.545,1.445,4.734,5.728,4.431
AT3G53950,5.639,6.06,6.67,9.574,8.934,10.753
AT3G53960,17.481,15.091,19.011,88.493,46.05,78.653
AT3G53970,30.229,27.638,24.053,38.157,32.14,34.802
AT3G53980,15.399,5.459,9.412,1113.377,483.774,714.01
AT3G53990,203.768,126.803,172.985,225.617,239.268,223.764
AT3G54000,0.686,1.164,1.513,23.674,30.247,34.637
AT3G54010,28.127,25.653,23.937,37.022,34.047,32.829
AT3G54020,7.011,7.114,9.045,68.224,120.401,126.691
AT3G54030,17.015,16.498,16.785,39.972,56.858,40.457
AT3G54040,0.474,0.541,0.627,34.235,21.28,12.508
AT3G54050,409.81,429.299,473.535,0.417,0.191,0.258
AT3G54060,0.09,0.251,0.074,0.453,0.352,0.283
AT3G54065,0.3,0.032,0.455,0.469,0.413,0.108
AT3G54070,0,0,0,0.705,0.443,0.217
AT3G54080,7.126,13.238,9.665,27.4,29.626,32.912
AT3G54085,13.699,16.052,11.785,20.636,20.717,23.559
AT3G54090,18.547,30.624,27.832,2.176,2.361,2.095
AT3G54100,8.549,9.653,6.009,13.154,11.928,12.063
AT3G54110,46.675,45.254,45.133,66.183,63.213,70.004
AT3G54120,3.036,6.225,4.722,9.617,9.5,9.196
