P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Glycine_max	Arachis_ipaensis	Arachis_duranensis	-99999.9	1.0	-0.007936507936507936	1047.0	5.0	4.0	128.0	0.0	45.0	1.0	0.0	0.0	75.0	0.0	1.0	1.0	16.0	0.0
Glycine_max	Arachis_duranensis	Arachis_ipaensis	0.950427212516607	0.1709476014759106	0.007751937984496124	1047.0	4.0	5.0	128.0	0.0	45.0	0.0	1.0	1.0	75.0	1.0	0.0	0.0	16.0	0.0
Arachis_ipaensis	Glycine_max	Arachis_duranensis	-120.70425598961081	1.0	0.5019607843137255	1047.0	5.0	45.0	1.0	0.0	4.0	128.0	0.0	0.0	75.0	0.0	1.0	16.0	1.0	0.0
Trifolium_pratense	Medicago_truncatula	Arachis_hypogaea	0.6449986970838127	0.2594639538173211	0.9117647058823529	821.0	176.0	60.0	13.0	18.0	13.0	10.0	7.0	41.0	40.0	16.0	4.0	7.0	2.0	2.0
Trifolium_pratense	Arachis_hypogaea	Medicago_truncatula	-6.019987839448915	0.9999999991246817	0.5254237288135594	821.0	60.0	176.0	13.0	18.0	13.0	41.0	4.0	10.0	40.0	7.0	7.0	16.0	2.0	2.0
Medicago_truncatula	Trifolium_pratense	Arachis_hypogaea	-0.5825794683337663	0.7199118262034201	1.1199999999999999	821.0	176.0	13.0	10.0	7.0	60.0	13.0	18.0	41.0	40.0	16.0	4.0	2.0	7.0	2.0
Trifolium_pratense	Medicago_truncatula	Arachis_ipaensis	-0.23680839763325012	0.5935972331713553	1.0384615384615385	882.0	115.0	79.0	8.0	4.0	16.0	9.0	5.0	36.0	46.0	15.0	5.0	7.0	1.0	2.0
Trifolium_pratense	Arachis_ipaensis	Medicago_truncatula	-6.630635133730996	0.9999999999831989	0.4909090909090909	882.0	79.0	115.0	8.0	4.0	16.0	36.0	5.0	9.0	46.0	7.0	5.0	15.0	1.0	2.0
Medicago_truncatula	Trifolium_pratense	Arachis_ipaensis	0.2455790790270742	0.40300409592107167	0.9655172413793104	882.0	115.0	16.0	9.0	5.0	79.0	8.0	4.0	36.0	46.0	15.0	5.0	1.0	7.0	2.0
Trifolium_pratense	Medicago_truncatula	Arachis_duranensis	-0.6372640813998314	0.7380236378193978	1.125	882.0	115.0	79.0	8.0	4.0	15.0	11.0	4.0	38.0	46.0	13.0	5.0	7.0	1.0	2.0
Trifolium_pratense	Arachis_duranensis	Medicago_truncatula	-6.372640813998312	0.9999999999066757	0.4736842105263158	882.0	79.0	115.0	8.0	4.0	15.0	38.0	5.0	11.0	46.0	7.0	4.0	13.0	1.0	2.0
Medicago_truncatula	Trifolium_pratense	Arachis_duranensis	0.7080712015553682	0.23945045191956416	0.9090909090909091	882.0	115.0	15.0	11.0	4.0	79.0	8.0	4.0	38.0	46.0	13.0	5.0	1.0	7.0	2.0
Trifolium_pratense	Arachis_hypogaea	Arachis_ipaensis	-99999.9	1.0	-0.028846153846153844	963.0	16.0	101.0	115.0	3.0	51.0	8.0	4.0	5.0	62.0	1.0	6.0	8.0	19.0	0.0
Trifolium_pratense	Arachis_ipaensis	Arachis_hypogaea	0.8348201982965904	0.201909424689393	0.026548672566371678	963.0	101.0	16.0	115.0	3.0	51.0	5.0	6.0	8.0	62.0	8.0	4.0	1.0	19.0	0.0
Arachis_hypogaea	Trifolium_pratense	Arachis_ipaensis	-29.77525373924504	1.0	0.5069124423963134	963.0	16.0	51.0	8.0	4.0	101.0	115.0	3.0	5.0	62.0	1.0	6.0	19.0	8.0	0.0
Trifolium_pratense	Arachis_hypogaea	Arachis_duranensis	-99999.9	1.0	-0.05102040816326531	960.0	19.0	103.0	113.0	3.0	49.0	10.0	4.0	5.0	62.0	1.0	8.0	9.0	16.0	0.0
Trifolium_pratense	Arachis_duranensis	Arachis_hypogaea	1.295948536313569	0.09749667595989298	0.04424778761061947	960.0	103.0	19.0	113.0	3.0	49.0	5.0	8.0	10.0	62.0	9.0	4.0	1.0	16.0	0.0
Arachis_hypogaea	Trifolium_pratense	Arachis_duranensis	-26.696539848059494	1.0	0.5118483412322274	960.0	19.0	49.0	10.0	4.0	103.0	113.0	3.0	5.0	62.0	1.0	8.0	16.0	9.0	0.0
Trifolium_pratense	Arachis_ipaensis	Arachis_duranensis	-99999.9	1.0	-0.015748031496062992	1060.0	4.0	3.0	131.0	0.0	60.0	2.0	0.0	0.0	78.0	0.0	2.0	1.0	21.0	0.0
Trifolium_pratense	Arachis_duranensis	Arachis_ipaensis	1.3706892572501983	0.08523598245811614	0.015037593984962405	1060.0	3.0	4.0	131.0	0.0	60.0	0.0	2.0	2.0	78.0	1.0	0.0	0.0	21.0	0.0
Arachis_ipaensis	Trifolium_pratense	Arachis_duranensis	-88.40945709263806	1.0	0.5038461538461538	1060.0	4.0	60.0	2.0	0.0	3.0	131.0	0.0	0.0	78.0	0.0	2.0	21.0	1.0	0.0
Medicago_truncatula	Arachis_hypogaea	Arachis_ipaensis	1.0055514785991717	0.15731569929047162	0.034782608695652174	823.0	11.0	75.0	117.0	1.0	96.0	6.0	3.0	10.0	45.0	0.0	14.0	4.0	24.0	1.0
Medicago_truncatula	Arachis_ipaensis	Arachis_hypogaea	-99999.9	1.0	-0.038834951456310676	823.0	75.0	11.0	117.0	1.0	96.0	10.0	14.0	6.0	45.0	4.0	3.0	0.0	24.0	1.0
