P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Glycine_max	Medicago_truncatula	Arachis_hypogaea	3.818641055542933	6.71177821855995e-05	0.5704225352112676	2079.0	389.0	226.0	152.0	71.0	186.0	91.0	70.0	172.0	566.0	182.0	86.0	87.0	127.0	34.0
Glycine_max	Medicago_truncatula	Trifolium_pratense	3.252615174505694	0.0005718025445198283	0.30769230769230765	1829.0	176.0	121.0	152.0	43.0	231.0	62.0	40.0	102.0	663.0	102.0	38.0	51.0	157.0	19.0
Medicago_truncatula	Glycine_max	Arachis_duranensis	4.07873345464696	2.2652766980102435e-05	0.6470588235294118	1719.0	285.0	154.0	115.0	66.0	198.0	61.0	56.0	160.0	539.0	163.0	57.0	92.0	97.0	21.0
Medicago_truncatula	Glycine_max	Arachis_ipaensis	3.690353664984904	0.00011200228000063372	0.6571428571428571	1702.0	299.0	167.0	112.0	56.0	190.0	64.0	61.0	156.0	534.0	170.0	62.0	90.0	92.0	25.0
Arachis_hypogaea	Glycine_max	Arachis_duranensis	4.153480102995202	1.6382430487515975e-05	0.4652777777777778	1794.0	277.0	182.0	153.0	68.0	279.0	76.0	97.0	143.0	511.0	152.0	71.0	99.0	137.0	50.0
Arachis_hypogaea	Glycine_max	Arachis_ipaensis	4.048569220463996	2.5778804476850325e-05	0.4817518248175182	1766.0	279.0	186.0	145.0	61.0	276.0	74.0	88.0	140.0	483.0	156.0	74.0	97.0	129.0	45.0
Trifolium_pratense	Medicago_truncatula	Arachis_hypogaea	3.577727939829328	0.0001733356644797457	0.7650273224043715	1931.0	324.0	122.0	99.0	42.0	182.0	56.0	44.0	196.0	685.0	170.0	49.0	58.0	87.0	14.0
Glycine_max	Medicago_truncatula	Trifolium_pratense	3.6267444480257605	0.0001435438279138168	0.22641509433962262	2560.0	62.0	78.0	90.0	6.0	116.0	8.0	2.0	32.0	182.0	16.0	4.0	8.0	18.0	4.0
Arachis_hypogaea	Trifolium_pratense	Medicago_truncatula	3.903650379489675	4.739531771624783e-05	0.3627450980392157	2195.0	127.0	124.0	86.0	16.0	135.0	21.0	14.0	58.0	155.0	12.0	16.0	14.0	25.0	2.0
Medicago_truncatula	Trifolium_pratense	Glycine_max	3.194366644581635	0.0007007545155722772	0.6888888888888889	2255.0	80.0	137.0	52.0	11.0	128.0	24.0	11.0	86.0	160.0	19.0	21.0	10.0	10.0	2.0
Arachis_duranensis	Medicago_truncatula	Trifolium_pratense	3.493076430680285	0.00023878972154411926	0.5492957746478874	1077.0	86.0	23.0	47.0	8.0	43.0	15.0	11.0	54.0	307.0	45.0	8.0	18.0	43.0	3.0
Arachis_hypogaea	Medicago_truncatula	Trifolium_pratense	3.493076430680285	0.00023878972154411926	0.5492957746478874	1077.0	86.0	23.0	47.0	8.0	43.0	15.0	11.0	54.0	307.0	45.0	8.0	18.0	43.0	3.0
