Tree,score,deep,var,GD,species_overlap,gd_consistency,RF
OG0000622_254_104,0.7953886808302125,1.0,0.002079425463374085,98,1.0,1.0,0.815603
OG0000629_253_78,0.9027028186448421,3.0,0.44235603800501505,125,1.0,1.0,0.709091
OG0000630_253_1,0.9523730435510569,1.0,0.5686395906456772,91,1.0,1.0,0.661765
OG0000631_253_2,0.9750847445253165,2.0,0.6492785984553744,141,1.0,1.0,0.684211
OG0000633_253_51,0.8861476059562305,3.0,0.18090245221656331,120,1.0,1.0,0.642276
OG0000637_252_35,0.9263421907493773,3.0,3.1831661593385907,135,1.0,1.0,0.582609
OG0000648_249_124,0.8829643805704049,3.0,1.3708160211005738,131,1.0,1.0,0.586207
OG0000651_249_19,0.9149178832300833,3.0,0.06591837485440326,78,1.0,1.0,0.659574
OG0000652_249_1,0.8359277189757021,1.0,0.7341063478047883,115,1.0,1.0,0.669173
OG0000657_248_90,0.8432126185668216,3.0,0.7321751722163152,116,1.0,1.0,0.485149
OG0000658_248_1,0.9647327392630608,1.0,0.11197121305523405,81,1.0,1.0,0.669173
OG0000665_247_3,0.9253628491413111,2.0,0.1732133755013482,83,1.0,1.0,0.650794
OG0000667_246_1,0.9616779206077064,1.0,0.608411468036308,75,1.0,1.0,0.740741
OG0000669_246_2,0.9435241056529508,2.0,0.23511433353562733,168,1.0,1.0,0.788462
OG0001259_162_10,0.9505917806254638,2.0,0.04688968856030368,87,1.0,1.0,0.421687
OG0001260_162_1,0.783790311414301,1.0,1.556566429013579,83,1.0,1.0,0.538462
OG0001266_162_34,0.7531273725584249,6.0,0.4766951727533135,68,1.0,1.0,0.69697
OG0001267_162_4,0.9344828175111695,2.0,0.12387740554112663,74,1.0,1.0,0.612245
OG0001270_161_1,0.8064757500354087,1.0,0.0685700463178415,52,1.0,1.0,0.555556
OG0001272_161_1,0.8304908416137915,1.0,0.005829330771707393,64,1.0,1.0,0.58
OG0001277_161_2,0.9566884507016675,2.0,0.031181366706898906,89,1.0,1.0,0.44086
OG0001278_161_39,0.9012911572334275,3.0,0.698281124061613,89,1.0,1.0,0.494505
OG0001280_161_56,0.8835731523724171,2.0,1.3167583266988998,66,1.0,1.0,0.693878
OG0001284_160_80,0.8414888124951291,4.0,0.7767973777066097,96,1.0,1.0,0.505618
