Tree,score,deep,var,GD,species_overlap,RF
OG0000622_254_3,0.1,0,0.5714790221128009,0,0.0,34
OG0000629_253_2,0.3391972974902425,2,0.4515237822228622,0,0.0,24
OG0000630_253_1,0.0,1,0.5686395906456772,0,0.0,28
OG0000631_253_5,0.0930981747880175,2,0.6233990554710396,0,0.0,14
OG0000633_253_1,0.0,1,0.2193369394056039,0,0.0,14
OG0000637_252_1,0.0,1,2.907318623945439,0,0.0,10
OG0000648_249_1,0.0,1,1.338025644607039,0,0.0,24
OG0000651_249_1,0.0,1,0.09497324724335227,0,0.0,30
OG0000652_249_1,0.0,1,0.7341063478047883,0,0.0,50
OG0000657_248_1,0.0,1,1.438481201178363,0,0.0,16
OG0000658_248_1,0.0,1,0.11197121305523405,0,0.0,34
OG0000665_247_6,0.015399453753782114,1,0.03798280341902702,0,0.0,18
OG0000667_246_1,0.0,1,0.608411468036308,0,0.0,52
OG0000669_246_1,0.0,1,0.009834562711782048,0,0.0,8
OG0001259_162_1,0.0,1,0.01833696249527151,0,0.0,8
OG0001260_162_1,0.0,1,1.556566429013579,0,0.0,20
OG0001266_162_1,0.0,1,0.2492681778193529,0,0.0,26
OG0001267_162_5,0.05489636446033469,0,0.08118080188419724,0,0.0,22
OG0001270_161_1,0.0,1,0.0685700463178415,0,0.0,16
OG0001272_161_1,0.0,1,0.005829330771707393,0,0.0,22
OG0001277_161_1,0.0,1,0.032380896043948,0,0.0,4
OG0001278_161_1,0.0,1,0.6686935845255458,0,0.0,26
OG0001280_161_1,0.0,1,1.332153459005875,0,0.0,36
OG0001284_160_1,0.0,1,0.6545256686730254,0,0.0,14
OG0001285_160_20,0.0,2,0.08881559587325612,0,0.0,48
OG0001289_160_1,0.0,1,0.5885282373775654,0,0.0,16
OG0001294_159_1,0.0,1,0.08806477239455121,0,0.0,14
OG0001297_159_1,0.0,1,0.08122865330066337,0,0.0,8
OG0001299_159_1,0.0,1,0.08075128663221907,0,0.0,12
OG0001307_159_1,0.0,1,0.07334764570426085,0,0.0,30
OG0001309_158_3,0.1,0,0.9901309802564563,0,0.0,18
OG0001311_158_1,0.0,1,0.05403500801764838,0,0.0,20
OG0001312_158_1,0.0,1,0.021731508466840403,0,0.0,26
OG0001317_157_1,0.0,1,0.07204538752086888,0,0.0,8
OG0001318_157_1,0.0,1,0.053104637879575256,0,0.0,12
OG0001319_157_1,0.0,1,0.03821968715620616,0,0.0,12
