tree_index	gene_family	n_leaves	n_species	n_shared_species	mulrf	max_rf	normalized_mulrf	shared_bipartitions	only_in_gene	only_in_sp	error
5	OG0000637_252	250	30	30	69	111	0.621622	21	62	7	
4	OG0000633_253	253	30	30	74	120	0.616667	23	69	5	
22	OG0001280_161	155	30	30	74	104	0.711538	15	61	13	
29	OG0001307_159	159	30	30	76	102	0.745098	13	61	15	
3	OG0000631_253	245	30	30	78	110	0.709091	16	66	12	
1	OG0000629_253	253	30	30	79	105	0.752381	13	64	15	
11	OG0000665_247	247	30	30	80	122	0.655738	21	73	7	
13	OG0000669_246	246	30	30	82	102	0.803922	10	64	18	
7	OG0000651_249	249	30	30	84	134	0.626866	25	81	3	
8	OG0000652_249	249	30	30	85	127	0.669291	21	78	7	
10	OG0000658_248	248	30	30	88	130	0.676923	21	81	7	
2	OG0000630_253	251	30	30	90	132	0.681818	21	83	7	
24	OG0001285_160	159	30	30	99	117	0.846154	9	80	19	
0	OG0000622_254	254	30	30	104	130	0.8	13	89	15	
12	OG0000667_246	246	30	30	112	154	0.727273	21	105	7	
