gd_node	gd_event_id	tree_id	status	outgroup	candidates
S13	OG0000002_2410-160	OG0000002_2410	used	MED	MED,GLY,PHA
S13	OG0000002_2410-161	OG0000002_2410	used	MED	MED,GLY,PHA
S13	OG0000003_2388-172	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-173	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-176	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-177	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-178	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-181	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-182	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-183	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-186	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-187	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-188	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-189	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-190	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-191	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-192	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-193	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-194	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-195	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-196	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-197	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-201	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-202	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-203	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-205	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-206	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-207	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-211	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-212	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-214	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-215	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-216	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-217	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-218	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-219	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-220	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-221	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-224	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-226	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-227	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-228	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-229	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-230	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-231	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-232	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-235	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-236	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-237	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-239	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-240	OG0000003_2388	used	MED	MED,GLY,PHA
S13	OG0000003_2388-241	OG0000003_2388	used	MED	MED,GLY,PHA
